Title,Link,Author,Chapter End
Ze Tian Ji,https://novelfull.com/ze-tian-ji.html,Mao Ni,Afterword
Coiling Dragon,https://novelfull.com/coiling-dragon.html,I Eat Tomatoes,Book 21 - RWX’s Afterword
Peerless Martial God 2,https://novelfull.com/peerless-martial-god-2.html,Du Wei Q,Chapter 1740 - The End!
Martial World,https://novelfull.com/martial-world.html,Cocooned Cow,Afterword
Great Demon King,https://novelfull.com/great-demon-king.html,Ni Cang Tian,Chapter 1027_END - Finale
The Most Loving Marriage In History: Master Mu’s Pampered Wife,https://novelfull.com/the-most-loving-marriage-in-history-master-mus-pampered-wife.html,Bei Chuan Yun Shang Jin,Chapter 2152_END - Growing Old Together (7)
The Founder of Diabolism,https://novelfull.com/the-founder-of-diabolism.html,Mò Xiāng Tóngxiù,Chapter 126 (END)
Reincarnation Of The Strongest Sword God,https://novelfull.com/reincarnation-of-the-strongest-sword-god.html,Lucky Old Cat,Chapter 3148 - Chapter 222 - One Person is Enough!
My Youth Began With Him,https://novelfull.com/my-youth-began-with-him.html,Baby Piggie,Chapter 4928 - In The Remaining Lifetime (108)
Peerless Martial God,https://novelfull.com/peerless-martial-god.html,Jing Wu Hen,Chapter 2500 (END) - The End
The Book Eating Magician,https://novelfull.com/the-book-eating-magician.html,McEnroe,Chapter 400 - Happy Ending (3)
Arifureta Shokugyou de Sekai Saikyou (WN),https://novelfull.com/arifureta-shokugyou-de-sekai-saikyou-wn.html,Chuuni Suki,Chapter 420
A Will Eternal,https://novelfull.com/a-will-eternal.html,Er Gen,Chapter 1315 (END) - Epilogue
God of Slaughter,https://novelfull.com/god-of-slaughter.html,Ni Cang Tian,Chapter 1618 - Eternal immortal (Finished)
The 99th Divorce,https://novelfull.com/the-99th-divorce.html,Wan Lili,Chapter 2321 (END) - Yes! He Is My Boyfriend
The Desolate Era,https://novelfull.com/the-desolate-era.html,I Eat Tomatoes, Book 45 - Era - Afterword
Womanizing Mage,https://novelfull.com/womanizing-mage.html,天堂不寂寞,Chapter 675: Sea of Reincarnation [END]
Death Is The Only Ending For The Villain,https://novelfull.com/death-is-the-only-ending-for-the-villain.html,권겨을,Special Chapters 8
Breakers,https://novelfull.com/breakers.html,Chwiryong,Breakers SS #3 – Felicia’s Special Day
Ghost Emperor Wild Wife: Dandy Eldest Miss,https://novelfull.com/ghost-emperor-wild-wife-dandy-eldest-miss.html,Xiao Qi Ye,Chapter 2262 - Yun Chutian’s Return (26) [ END ]
Genius Doctor: Black Belly Miss,https://novelfull.com/genius-doctor-black-belly-miss.html,North Night,Chapter 3123 - The End - Matchmaking
Chongfei Manual,https://novelfull.com/chongfei-manual.html,Funghe Youyue,Chapter: 171.3 out of 171
Douluo Dalu,https://novelfull.com/douluo-dalu.html,Tang Jia San Shao,Chapter 336 (END)
The Novel's Extra,https://novelfull.com/the-novels-extra.html,Jee Gab Song,"Chapter 378. Epilogue (2), Their Story [Part 2] [COMPLETE]"
Wu Dong Qian Kun,https://novelfull.com/wu-dong-qian-kun.html,Heavenly Silkworm Potato,Ice Spirit Tribe Side Story 6
In Different World with Naruto System,https://novelfull.com/in-different-world-with-naruto-system.html,鱼丸酱醋米,Chapter 381: Space-time passage
"Kumo Desu ga, Nani ka?",https://novelfull.com/kumo-desu-ga-nani-ka.html,Baba Okina,Epilogue
Super Gene,https://novelfull.com/super-gene.html,Twelve Winged Dark Burning Angel,Chapter 3462 (END) - Epilogue
½ Prince,https://novelfull.com/half-prince.html,Yu Wo,Volume 9 Chapter 8
Battle Frenzy,https://novelfull.com/battle-frenzy.html,Skeleton Wizard,Chapter 1212 - My Most Beloved Friend
Trial Marriage Husband: Need to Work Hard,https://novelfull.com/trial-marriage-husband-need-to-work-hard.html,Passion Honey,Chapter 1274 (END) - The End
"Husband, Be A Gentleman",https://novelfull.com/husband-be-a-gentleman.html,Su Xing Yue,Chapter 81
God of Crime,https://novelfull.com/god-of-crime.html,Han Yeoul,Chapter 164
Dungeon Defense,https://novelfull.com/dungeon-defense.html,Yoo Heonhwa,Chapter 43 (END) - Volume 5
Stellar Transformations,https://novelfull.com/stellar-transformations.html,I Eat Tomatoes,Book 18 - Chapter 45C
Skyfire Avenue,https://novelfull.com/skyfire-avenue.html,Tang Jia San Shao,The End
Renegade Immortal,https://novelfull.com/renegade-immortal.html,Er Gen,Postscript
I Shall Seal the Heavens,https://novelfull.com/i-shall-seal-the-heavens.html,Er Gen,Dear Fellow Daoists
Black Tech Internet Cafe System,https://novelfull.com/black-tech-internet-cafe-system.html,The Leaf That Goes Against Water,Chapter 944 - The Ten-Year-Long Internet Story in This World (The End - 2/2)
Young master Damien's pet,https://novelfull.com/young-master-damiens-pet.html,Ash_knight17,Chapter 761 Jerome and Maggie- Part 2 (extra scene)
The Experimental Log of the Crazy Lich,https://novelfull.com/the-experimental-log-of-the-crazy-lich.html,Angry Squirrel,Chapter 841: Side Story 4 - A Simple Mission: Finding the Missing Mother
World of Cultivation,https://novelfull.com/world-of-cultivation.html,Fang Xiang,Chapter Nine Hundred and Fifteen – The Ending
Battle Through the Heavens,https://novelfull.com/battle-through-the-heavens.html,Heavenly Silkworm Potato,Chapter 1648: The End Is Also A Beginning (End)
Library of Heaven’s Path,https://novelfull.com/library-of-heavens-path.html,Heng Sao Tian Ya,Chapter 2268 - Side Story 3: Sun Qiang
The Great Ruler,https://novelfull.com/the-great-ruler.html,Heavenly Silkworm Potato,Chapter 1565(End) - The Death of the Evil Deity (End)
True Martial World,https://novelfull.com/true-martial-world.html,Cocooned Cow,Chapter 1710 - Epilogue: Every Ending Is Also A Beginning
"My Husband, Warm The Bed",https://novelfull.com/my-husband-warm-the-bed.html,Jiu Shi Mian Mian,Chapter C1995
Stunning Edge,https://novelfull.com/stunning-edge.html,Wú Yì Bǎo Bao,Chapter 332 (END)
Rebirth of the Thief Who Roamed the World,https://novelfull.com/rebirth-of-the-thief-who-roamed-the-world.html,Mad Snail,"Chapter 995 (END) - Past Life, This Life (Fin"
Ancient Godly Monarch,https://novelfull.com/ancient-godly-monarch.html,Jing Wu Hen,Chapter 2053 - Additional Tales: Legend of the Devilish Female
Warlock of the Magus World,https://novelfull.com/warlock-of-the-magus-world.html,The Plagiarist,Author’s Afterword
Sinister Ex-Girlfriend,https://novelfull.com/sinister-ex-girlfriend.html,妹纸爱吃肉,Chapter 434 - Xu Ce Extra
The Legend of the Dragon King,https://novelfull.com/the-legend-of-the-dragon-king.html,Tang Jia San Shao,Chapter 1983 - Eternally Sealed In Ice!
National School Prince Is A Girl,https://novelfull.com/national-school-prince-is-a-girl.html,Warring Young Seven,Chapter 1782-END - We Are The Champion!
Omniscient Reader’s Viewpoint,https://novelfull.com/omniscient-readers-viewpoint.html,Sing-Shong,Chapter 551 (END) - Epilogue 5 – The Eternity and Epilogue (Complete)
The Beautiful Wife of the Whirlwind Marriage,https://novelfull.com/the-beautiful-wife-of-the-whirlwind-marriage.html,Bath Robey,Chapter 1583 - Our Encounter is Destined By Fate  
Swallowed Star,https://novelfull.com/swallowed-star.html,I Eat Tomatoes,Chapter 1486 - Transcending Reincarnation (The Final Episode) Part 2
Tales of the Reincarnated Lord,https://novelfull.com/tales-of-the-reincarnated-lord.html,Smoke Is A Path,Chapter 590 Celebration and Budgets
Lord Xue Ying,https://novelfull.com/lord-xue-ying.html,I Eat Tomatoes,Chapter 1388 - Overlord (2) [Final Chapter]
My House of Horrors,https://novelfull.com/my-house-of-horrors.html,I Fix Air-Conditioner,Chapter 1211 (END) - My House of Horrors
Unrivaled Tang Sect,https://novelfull.com/unrivaled-tang-sect.html,Tang Jia San Shao,Chapter 622.4 - Conclusion
God and Devil World,https://novelfull.com/god-and-devil-world.html,Zi Chan Bao Zeng,"Chapter 1217: Omnipotent, Omniscient, Omnipresent (Finale)"
Spirit Realm,https://novelfull.com/spirit-realm.html,Ni Cang Tian,Chapter 1841: A New Era!
I’m Really a Superstar,https://novelfull.com/im-really-a-superstar.html,Chang Yu,Chapter 1696 - 'Let It Go' debuts!
Tensei Shitara Slime Datta Ken (WN),https://novelfull.com/tensei-shitara-slime-datta-ken-wn.html,Fuse,Chapter 413
The Magus Era,https://novelfull.com/the-magus-era.html,Blood Red,Chapter 1901: Go on A Long Journey
Heavenly Jewel Change,https://novelfull.com/heavenly-jewel-change.html,Tang Jia San Shao,Chapter 848 (END)
The Second Coming of Gluttony,https://novelfull.com/the-second-coming-of-gluttony.html,Ro Yu-jin,Afterword
Perfect Secret Love: The Bad New Wife is a Little Sweet,https://novelfull.com/perfect-secret-love-the-bad-new-wife-is-a-little-sweet.html,Jiong Jiong You Yao,Chapter 2490 [END] - Mini scene: Shameless Competition
My Sassy ‘Crown Princess’,https://novelfull.com/my-sassy-crown-princess.html,Ye Yiluo,Chapter 1012 - Extra Eleven (2) THE END
My Cold and Elegant CEO Wife,https://novelfull.com/my-cold-and-elegant-ceo-wife.html,I Love Mermaid,Chapter 2512(End)
Reincarnator,https://novelfull.com/reincarnator.html,ALLA,Chapter 492 - Return
King of Gods,https://novelfull.com/king-of-gods.html,Fast Food Resturant,Chapter 1585 - Reunion
Superstars of Tomorrow,https://novelfull.com/superstars-of-tomorrow.html,Chen Ci Lan Tiao,"Chapter 507 (END) - I Came From The Past, And I Belong To The Past (END)"
The World Online,https://novelfull.com/the-world-online.html,Sheng Xiao Jian Ke,Chapter 1356 - Grand finale
Hidden Marriage,https://novelfull.com/hidden-marriage.html,Jiong Jiong You Yao,Chapter 2165 (END) - My Little Heart
Ancient Strengthening Technique,https://novelfull.com/ancient-strengthening-technique.html,I Am Superfluous,Author's Note + Translator Note
Otherworldly Evil Monarch,https://novelfull.com/otherworldly-evil-monarch.html,Fengling Tianxia,Chapter 1277 (END) - Finale!
The King's Avatar,https://novelfull.com/the-kings-avatar.html,Butterfly Blue,"Chapter 1729(END) - Final Update, Thoughts On Completion"
Common Sense of a Duke’s Daughter,https://novelfull.com/common-sense-of-a-dukes-daughter.html,Reia,Chapter 265 Epilogue
Release that Witch,https://novelfull.com/release-that-witch.html,Er Mu,Chapter 1498(END) - A Brand New Road
The Crown's Obsession,https://novelfull.com/the-crowns-obsession.html,Ash_knight17,Chapter 868 The angel's affairs: Michael
Shura’s Wrath,https://novelfull.com/shuras-wrath.html,Mars Gravity,Chapter 850: Perfect Moon
Everyone Else is a Returnee,https://novelfull.com/everyone-else-is-a-returnee.html,Toika,Afterword
My Dad Is the Galaxy’s Prince Charming,https://novelfull.com/my-dad-is-the-galaxys-prince-charming.html,Mrs. Ago,Chapter 198 -  Personal Time is Needed
Eight Treasures Trousseau,https://novelfull.com/eight-treasures-trousseau.html,Butterfly's Shadow Beneath the Moon,Chapter 108 (END)
To Be A Virtuous Wife,https://novelfull.com/to-be-a-virtuous-wife.html,齐成琨,Chapter 123
